model,seed,f1,roc_auc,pr_auc,balanced_accuracy
hybrid_temporal,42,0.7272727272727272,0.9550264550264552,0.8769701323580635,0.8174603174603174
hybrid_temporal,43,0.8181818181818182,0.962962962962963,0.8880200556287514,0.8670634920634921
hybrid_temporal,44,0.7000000000000001,0.9656084656084656,0.8787971287971289,0.7837301587301587
hybrid_temporal,45,0.761904761904762,0.9629629629629628,0.8847222222222223,0.8253968253968254
hybrid_temporal,46,0.8181818181818182,0.9748677248677248,0.909356725146199,0.8670634920634921
hybrid_temporal,47,0.7692307692307692,0.9642857142857144,0.8855026455026457,0.8849206349206349
hybrid_temporal,48,0.761904761904762,0.9576719576719576,0.86541085620033,0.8253968253968254
hybrid_temporal,49,0.8181818181818182,0.9775132275132274,0.9117224880382776,0.8670634920634921
hybrid_temporal,50,0.7000000000000001,0.9589947089947092,0.8720594220594221,0.7837301587301587
hybrid_temporal,51,0.8181818181818182,0.9642857142857144,0.882343304843305,0.8670634920634921
hybrid_temporal,52,0.6666666666666666,0.947089947089947,0.8309535573122531,0.7757936507936508
hybrid_temporal,53,0.8695652173913043,0.9642857142857144,0.8902773152773155,0.9087301587301588
hybrid_temporal,54,0.8181818181818182,0.9669312169312168,0.8933099107012151,0.8670634920634921
hybrid_temporal,55,0.8181818181818182,0.9708994708994708,0.9023015873015874,0.8670634920634921
hybrid_temporal,56,0.8333333333333334,0.9523809523809524,0.8599197099197101,0.9007936507936508
hybrid_temporal,57,0.8695652173913043,0.962962962962963,0.8957408533495491,0.9087301587301588
hybrid_temporal,58,0.8181818181818182,0.9523809523809524,0.8762217397298043,0.8670634920634921
hybrid_temporal,59,0.8333333333333334,0.9708994708994708,0.8998888580696363,0.9007936507936508
hybrid_temporal,60,0.7000000000000001,0.9828042328042328,0.9187800625300626,0.7837301587301587
hybrid_temporal,61,0.7826086956521738,0.958994708994709,0.8792328042328043,0.8591269841269842
logistic_regression,42,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,43,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,44,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,45,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,46,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,47,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,48,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,49,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,50,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,51,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,52,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,53,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,54,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,55,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,56,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,57,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,58,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,59,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,60,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
logistic_regression,61,0.6666666666666666,0.8637566137566138,0.7572035005224661,0.7757936507936508
lstm,42,0.6666666666666666,0.8796296296296297,0.7535972943697274,0.75
lstm,43,0.6666666666666666,0.8227513227513228,0.6832472637817132,0.75
lstm,44,0.6666666666666666,0.7619047619047619,0.6682890042844213,0.7757936507936508
lstm,45,0.631578947368421,0.8293650793650794,0.6999926081543729,0.7420634920634921
lstm,46,0.631578947368421,0.791005291005291,0.6665829487955244,0.7420634920634921
lstm,47,0.6666666666666666,0.8346560846560847,0.7002248677248678,0.75
lstm,48,0.7000000000000001,0.8253968253968254,0.7186292049335529,0.7837301587301587
lstm,49,0.5714285714285715,0.8148148148148149,0.6676262518535756,0.7261904761904762
lstm,50,0.631578947368421,0.7513227513227513,0.6410940063795089,0.7420634920634921
lstm,51,0.631578947368421,0.8492063492063493,0.7000954681389464,0.7420634920634921
lstm,52,0.7368421052631579,0.83994708994709,0.7382095464448406,0.7916666666666667
lstm,53,0.7000000000000001,0.8359788359788359,0.7138526404151405,0.7837301587301587
lstm,54,0.631578947368421,0.8214285714285714,0.6623261663031484,0.7420634920634921
lstm,55,0.6,0.8148148148148148,0.6866978153268477,0.7341269841269842
lstm,56,0.6363636363636365,0.828042328042328,0.722973781040114,0.7678571428571428
lstm,57,0.631578947368421,0.8240740740740741,0.707707020249724,0.7420634920634921
lstm,58,0.5882352941176471,0.8267195767195767,0.7023503981828012,0.7083333333333334
lstm,59,0.6666666666666666,0.8452380952380952,0.7104943768742268,0.7757936507936508
lstm,60,0.6,0.7063492063492064,0.6349499978357372,0.7341269841269842
lstm,61,0.631578947368421,0.8955026455026456,0.7665831244778615,0.7420634920634921
random_forest,42,0.6666666666666666,0.9212962962962964,0.8000705678337257,0.75
